1932-05-09,1,167,A MODERN HERO,LOUIS BROMFIELD
1932-05-09,2,2875,MAGNOLIA STREET,LOUIS GOLDING
1932-05-09,3,847,BRIGHT SKIN,JULIA PETERKIN
1932-05-16,1,5304,THE GOOD EARTH,PEARL S. BUCK
1932-05-16,2,167,A MODERN HERO,LOUIS BROMFIELD
1932-05-16,3,2875,MAGNOLIA STREET,LOUIS GOLDING
1932-05-23,1,5304,THE GOOD EARTH,PEARL S. BUCK
1932-05-23,2,167,A MODERN HERO,LOUIS BROMFIELD
1932-05-23,3,847,BRIGHT SKIN,JULIA PETERKIN
1932-05-30,1,5304,THE GOOD EARTH,PEARL S. BUCK
1932-05-30,2,4652,THE BLACK SWAN,RAFAEL SABATINI
1932-05-30,3,167,A MODERN HERO,LOUIS BROMFIELD
1932-06-06,1,1474,DISTRICT NURSE,FAITH BALDWIN
1932-06-06,2,5304,THE GOOD EARTH,PEARL S. BUCK
1932-06-06,3,4652,THE BLACK SWAN,RAFAEL SABATINI
1932-06-13,1,5193,THE FOUNTAIN,CHARLES MORGAN
1932-06-13,2,5304,THE GOOD EARTH,PEARL S. BUCK
1932-06-13,3,1474,DISTRICT NURSE,FAITH BALDWIN
1932-06-20,1,5193,THE FOUNTAIN,CHARLES MORGAN
1932-06-20,2,1474,DISTRICT NURSE,FAITH BALDWIN
1932-06-20,3,4652,THE BLACK SWAN,RAFAEL SABATINI
1932-06-27,1,5193,THE FOUNTAIN,CHARLES MORGAN
1932-06-27,2,7058,UNDERTOW,A. HAMILTON GIBBS
1932-06-27,3,5304,THE GOOD EARTH,PEARL S. BUCK
1932-07-04,1,5193,THE FOUNTAIN,CHARLES MORGAN
1932-07-04,2,7058,UNDERTOW,A. HAMILTON GIBBS
1932-07-04,3,659,BENEFITS RECEIVED,ALICE GRANT ROSMAN
1932-07-11,1,5193,THE FOUNTAIN,CHARLES MORGAN
1932-07-11,2,6170,THE RUEFUL MATING,G. B. STERN
1932-07-11,3,7405,YOUNGER SISTER,KATHLEEN NORRIS
1932-07-18,1,5193,THE FOUNTAIN,CHARLES MORGAN
1932-07-18,2,659,BENEFITS RECEIVED,ALICE GRANT ROSMAN
1932-07-18,3,6399,THE STORE,T. S. STRIBLING
1932-07-25,1,5193,THE FOUNTAIN,CHARLES MORGAN
1932-07-25,2,6399,THE STORE,T. S. STRIBLING
1932-07-25,3,584,BALLERINA,LADY ELEANOR SMITH
1932-08-01,1,5193,THE FOUNTAIN,CHARLES MORGAN
1932-08-01,2,6399,THE STORE,T. S. STRIBLING
1932-08-01,3,2729,LITTLE GIRL LOST,TEMPLE BAILEY
1932-08-08,1,5193,THE FOUNTAIN,CHARLES MORGAN
1932-08-08,2,3324,OBSCURE DESTINIES,WILLA CATHER
1932-08-08,3,1757,FARAWAY,J. B. PRIESTLEY
1932-08-15,1,1757,FARAWAY,J. B. PRIESTLEY
1932-08-15,2,5193,THE FOUNTAIN,CHARLES MORGAN
1932-08-15,3,2132,HEAD TIDE,JOSEPH C. LINCOLN
1932-08-22,1,2630,LARK ASCENDING,MAZO DE LA ROCHE
1932-08-22,2,5193,THE FOUNTAIN,CHARLES MORGAN
1932-08-22,3,3324,OBSCURE DESTINIES,WILLA CATHER
1932-08-29,1,5193,THE FOUNTAIN,CHARLES MORGAN
