1940-09-30,3,1907,FOUNDATION STONE,LELLA WARREN
1940-09-30,4,4613,THE BELOVED RETURNS,THOMAS MANN
1940-09-30,5,2286,HOW GREEN WAS MY VALLEY,RICHARD LLEWELLYN
1940-09-30,6,5109,THE FAMILY,NINA FEDOROVA
1940-10-07,1,7392,YOU CAN'T GO HOME AGAIN,THOMAS WOLFE
1940-10-07,2,3120,MRS. MINIVER,JAN STRUTHER
1940-10-07,3,4613,THE BELOVED RETURNS,THOMAS MANN
1940-10-07,4,1907,FOUNDATION STONE,LELLA WARREN
1940-10-07,5,5109,THE FAMILY,NINA FEDOROVA
1940-10-07,6,2286,HOW GREEN WAS MY VALLEY,RICHARD LLEWELLYN
1940-10-14,1,3120,MRS. MINIVER,JAN STRUTHER
1940-10-14,2,7392,YOU CAN'T GO HOME AGAIN,THOMAS WOLFE
1940-10-14,3,5109,THE FAMILY,NINA FEDOROVA
1940-10-14,4,1907,FOUNDATION STONE,LELLA WARREN
1940-10-14,5,2286,HOW GREEN WAS MY VALLEY,RICHARD LLEWELLYN
1940-10-14,6,4613,THE BELOVED RETURNS,THOMAS MANN
1940-10-21,1,3120,MRS. MINIVER,JAN STRUTHER
1940-10-21,2,7392,YOU CAN'T GO HOME AGAIN,THOMAS WOLFE
1940-10-21,3,5109,THE FAMILY,NINA FEDOROVA
1940-10-21,4,1907,FOUNDATION STONE,LELLA WARREN
1940-10-21,5,6396,THE STONE OF CHASTITY,MARGERY SHARP
1940-10-21,6,5139,THE FIRE AND THE WOOD,R. C. HUTCHINSON
1940-10-28,1,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1940-10-28,2,1907,FOUNDATION STONE,LELLA WARREN
1940-10-28,3,3120,MRS. MINIVER,JAN STRUTHER
1940-10-28,4,7392,YOU CAN'T GO HOME AGAIN,THOMAS WOLFE
1940-10-28,5,5109,THE FAMILY,NINA FEDOROVA
1940-10-28,6,6396,THE STONE OF CHASTITY,MARGERY SHARP
1940-11-04,1,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1940-11-04,2,3120,MRS. MINIVER,JAN STRUTHER
1940-11-04,3,1907,FOUNDATION STONE,LELLA WARREN
1940-11-04,4,5109,THE FAMILY,NINA FEDOROVA
1940-11-04,5,7392,YOU CAN'T GO HOME AGAIN,THOMAS WOLFE
1940-11-04,6,6396,THE STONE OF CHASTITY,MARGERY SHARP
1940-11-11,1,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1940-11-11,2,3120,MRS. MINIVER,JAN STRUTHER
1940-11-11,3,7392,YOU CAN'T GO HOME AGAIN,THOMAS WOLFE
1940-11-11,4,1907,FOUNDATION STONE,LELLA WARREN
1940-11-11,5,1795,FIELDING'S FOLLY,FRANCES PARKINSON KEYES
1940-11-11,6,5109,THE FAMILY,NINA FEDOROVA
1940-11-18,1,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1940-11-18,2,3120,MRS. MINIVER,JAN STRUTHER
1940-11-18,3,5109,THE FAMILY,NINA FEDOROVA
1940-11-18,4,1907,FOUNDATION STONE,LELLA WARREN
1940-11-18,5,6624,THE VOYAGE,CHARLES MORGAN
1940-11-18,6,7392,YOU CAN'T GO HOME AGAIN,THOMAS WOLFE
1940-11-25,1,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1940-11-25,2,3120,MRS. MINIVER,JAN STRUTHER
1940-11-25,3,5109,THE FAMILY,NINA FEDOROVA
1940-11-25,4,6624,THE VOYAGE,CHARLES MORGAN
1940-11-25,5,1907,FOUNDATION STONE,LELLA WARREN
1940-11-25,6,1741,FAME IS THE SPUR,HOWARD SPRING
1940-12-02,1,3350,OLIVER WISWELL,KENNETH ROBERTS
1940-12-02,2,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1940-12-02,3,3120,MRS. MINIVER,JAN STRUTHER
1940-12-02,4,1741,FAME IS THE SPUR,HOWARD SPRING
1940-12-02,5,5109,THE FAMILY,NINA FEDOROVA
1940-12-02,6,6624,THE VOYAGE,CHARLES MORGAN
1940-12-09,1,3350,OLIVER WISWELL,KENNETH ROBERTS
1940-12-09,2,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1940-12-09,3,6624,THE VOYAGE,CHARLES MORGAN
1940-12-09,4,3120,MRS. MINIVER,JAN STRUTHER
1940-12-09,5,1741,FAME IS THE SPUR,HOWARD SPRING
1940-12-09,6,5109,THE FAMILY,NINA FEDOROVA
1940-12-16,1,3350,OLIVER WISWELL,KENNETH ROBERTS
1940-12-16,2,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1940-12-16,3,1741,FAME IS THE SPUR,HOWARD SPRING
1940-12-16,4,3120,MRS. MINIVER,JAN STRUTHER
1940-12-16,5,5109,THE FAMILY,NINA FEDOROVA
1940-12-16,6,3920,SAPPHIRA AND THE SLAVE GIRL,WILLA CATHER
1940-12-16,7,6624,THE VOYAGE,CHARLES MORGAN
1940-12-23,1,3350,OLIVER WISWELL,KENNETH ROBERTS
1940-12-23,2,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1940-12-23,3,3920,SAPPHIRA AND THE SLAVE GIRL,WILLA CATHER
1940-12-23,4,3120,MRS. MINIVER,JAN STRUTHER
1940-12-23,5,5109,THE FAMILY,NINA FEDOROVA
1940-12-23,6,6624,THE VOYAGE,CHARLES MORGAN
1940-12-30,1,3350,OLIVER WISWELL,KENNETH ROBERTS
1940-12-30,2,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1940-12-30,3,3920,SAPPHIRA AND THE SLAVE GIRL,WILLA CATHER
1940-12-30,4,5109,THE FAMILY,NINA FEDOROVA
1940-12-30,5,3120,MRS. MINIVER,JAN STRUTHER
1940-12-30,6,6624,THE VOYAGE,CHARLES MORGAN
1941-01-06,1,3350,OLIVER WISWELL,KENNETH ROBERTS
1941-01-06,2,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1941-01-06,3,3920,SAPPHIRA AND THE SLAVE GIRL,WILLA CATHER
1941-01-06,4,5109,THE FAMILY,NINA FEDOROVA
1941-01-06,5,3120,MRS. MINIVER,JAN STRUTHER
1941-01-06,6,1741,FAME IS THE SPUR,HOWARD SPRING
1941-01-13,1,3350,OLIVER WISWELL,KENNETH ROBERTS
1941-01-13,2,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1941-01-13,3,3920,SAPPHIRA AND THE SLAVE GIRL,WILLA CATHER
1941-01-13,4,1741,FAME IS THE SPUR,HOWARD SPRING
1941-01-13,5,3120,MRS. MINIVER,JAN STRUTHER
1941-01-13,6,5109,THE FAMILY,NINA FEDOROVA
1941-01-20,1,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1941-01-20,2,3350,OLIVER WISWELL,KENNETH ROBERTS
1941-01-20,3,3920,SAPPHIRA AND THE SLAVE GIRL,WILLA CATHER
1941-01-20,4,3120,MRS. MINIVER,JAN STRUTHER
1941-01-20,5,1741,FAME IS THE SPUR,HOWARD SPRING
1941-01-20,6,6624,THE VOYAGE,CHARLES MORGAN
1941-01-27,1,3350,OLIVER WISWELL,KENNETH ROBERTS
1941-01-27,2,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1941-01-27,3,3920,SAPPHIRA AND THE SLAVE GIRL,WILLA CATHER
1941-01-27,4,3120,MRS. MINIVER,JAN STRUTHER
1941-01-27,5,1741,FAME IS THE SPUR,HOWARD SPRING
1941-01-27,6,5030,THE EARTH IS THE LORD'S,TAYLOR CALDWELL
1941-02-03,1,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1941-02-03,2,3350,OLIVER WISWELL,KENNETH ROBERTS
1941-02-03,3,3715,RANDOM HARVEST,JAMES HILTON
1941-02-03,4,3920,SAPPHIRA AND THE SLAVE GIRL,WILLA CATHER
1941-02-03,5,3120,MRS. MINIVER,JAN STRUTHER
1941-02-03,6,1741,FAME IS THE SPUR,HOWARD SPRING
1941-02-10,1,3350,OLIVER WISWELL,KENNETH ROBERTS
1941-02-10,2,3715,RANDOM HARVEST,JAMES HILTON
1941-02-10,3,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1941-02-10,4,1409,DELILAH,MARCUS GOODRICH
1941-02-10,5,3920,SAPPHIRA AND THE SLAVE GIRL,WILLA CATHER
1941-02-10,6,3120,MRS. MINIVER,JAN STRUTHER
1941-02-17,1,3715,RANDOM HARVEST,JAMES HILTON
1941-02-17,2,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1941-02-17,3,3350,OLIVER WISWELL,KENNETH ROBERTS
1941-02-17,4,1409,DELILAH,MARCUS GOODRICH
1941-02-17,5,3920,SAPPHIRA AND THE SLAVE GIRL,WILLA CATHER
1941-02-17,6,3120,MRS. MINIVER,JAN STRUTHER
1941-02-24,1,3715,RANDOM HARVEST,JAMES HILTON
1941-02-24,2,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1941-02-24,3,3350,OLIVER WISWELL,KENNETH ROBERTS
1941-02-24,4,1409,DELILAH,MARCUS GOODRICH
1941-02-24,5,3920,SAPPHIRA AND THE SLAVE GIRL,WILLA CATHER
1941-02-24,6,6891,TO SING WITH THE ANGELS,MAURICE HINDUS
1941-03-03,1,3715,RANDOM HARVEST,JAMES HILTON
1941-03-03,2,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1941-03-03,3,3350,OLIVER WISWELL,KENNETH ROBERTS
1941-03-03,4,1409,DELILAH,MARCUS GOODRICH
1941-03-03,5,2082,"H. M. PULHAM, ESQUIRE",J. P. MARQUAND
1941-03-03,6,3920,SAPPHIRA AND THE SLAVE GIRL,WILLA CATHER
1941-03-10,1,3715,RANDOM HARVEST,JAMES HILTON
1941-03-10,2,2082,"H. M. PULHAM, ESQUIRE",J. P. MARQUAND
1941-03-10,3,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1941-03-10,4,1409,DELILAH,MARCUS GOODRICH
1941-03-10,5,3350,OLIVER WISWELL,KENNETH ROBERTS
1941-03-10,6,6891,TO SING WITH THE ANGELS,MAURICE HINDUS
1941-03-17,1,3715,RANDOM HARVEST,JAMES HILTON
1941-03-17,2,2082,"H. M. PULHAM, ESQUIRE",J. P. MARQUAND
1941-03-17,3,3350,OLIVER WISWELL,KENNETH ROBERTS
1941-03-17,4,1409,DELILAH,MARCUS GOODRICH
1941-03-17,5,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1941-03-17,6,1751,FANNY BY GASLIGHT,MICHAEL SADLEIR
1941-03-24,1,3715,RANDOM HARVEST,JAMES HILTON
1941-03-24,2,2082,"H. M. PULHAM, ESQUIRE",J. P. MARQUAND
1941-03-24,3,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1941-03-24,4,1409,DELILAH,MARCUS GOODRICH
1941-03-24,5,3350,OLIVER WISWELL,KENNETH ROBERTS
1941-03-24,6,3085,MOUNTAIN MEADOW,JOHN BUCHAN
1941-03-31,1,3715,RANDOM HARVEST,JAMES HILTON
1941-03-31,2,2082,"H. M. PULHAM, ESQUIRE",J. P. MARQUAND
1941-03-31,3,1409,DELILAH,MARCUS GOODRICH
1941-03-31,4,3350,OLIVER WISWELL,KENNETH ROBERTS
1941-03-31,5,1886,FOR WHOM THE BELL TOLLS,ERNEST HEMINGWAY
1941-03-31,6,3085,MOUNTAIN MEADOW,JOHN BUCHAN
1941-04-07,1,3715,RANDOM HARVEST,JAMES HILTON
1941-04-07,2,2082,"H. M. PULHAM, ESQUIRE",J. P. MARQUAND
1941-04-07,3,2410,IN THIS OUR LIFE,ELLEN GLASGOW
1941-04-07,4,1409,DELILAH,MARCUS GOODRICH
1941-04-07,5,3350,OLIVER WISWELL,KENNETH ROBERTS
1941-04-07,6,678,BETWEEN TWO WORLDS,UPTON SINCLAIR
1941-04-14,1,3715,RANDOM HARVEST,JAMES HILTON
1941-04-14,2,2410,IN THIS OUR LIFE,ELLEN GLASGOW
1941-04-14,3,2082,"H. M. PULHAM, ESQUIRE",J. P. MARQUAND
1941-04-14,4,3350,OLIVER WISWELL,KENNETH ROBERTS
1941-04-14,5,1409,DELILAH,MARCUS GOODRICH
1941-04-14,6,7081,UP AT THE VILLA,W. SOMERSET MAUGHAM
1941-04-21,1,3715,RANDOM HARVEST,JAMES HILTON
1941-04-21,2,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-04-21,3,2410,IN THIS OUR LIFE,ELLEN GLASGOW
1941-04-21,4,2082,"H. M. PULHAM, ESQUIRE",J. P. MARQUAND
1941-04-21,5,3350,OLIVER WISWELL,KENNETH ROBERTS
1941-04-21,6,1409,DELILAH,MARCUS GOODRICH
1941-04-28,1,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-04-28,2,3715,RANDOM HARVEST,JAMES HILTON
1941-04-28,3,2082,"H. M. PULHAM, ESQUIRE",J. P. MARQUAND
1941-04-28,4,2410,IN THIS OUR LIFE,ELLEN GLASGOW
1941-04-28,5,7081,UP AT THE VILLA,W. SOMERSET MAUGHAM
1941-04-28,6,6790,THEY WENT ON TOGETHER,ROBERT NATHAN
1941-05-05,1,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-05-05,2,3715,RANDOM HARVEST,JAMES HILTON
1941-05-05,3,2410,IN THIS OUR LIFE,ELLEN GLASGOW
1941-05-05,4,2082,"H. M. PULHAM, ESQUIRE",J. P. MARQUAND
1941-05-05,5,3350,OLIVER WISWELL,KENNETH ROBERTS
1941-05-05,6,7081,UP AT THE VILLA,W. SOMERSET MAUGHAM
1941-05-12,1,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-05-12,2,3715,RANDOM HARVEST,JAMES HILTON
1941-05-12,3,2082,"H. M. PULHAM, ESQUIRE",J. P. MARQUAND
1941-05-12,4,2410,IN THIS OUR LIFE,ELLEN GLASGOW
1941-05-12,5,6790,THEY WENT ON TOGETHER,ROBERT NATHAN
1941-05-12,6,7081,UP AT THE VILLA,W. SOMERSET MAUGHAM
1941-05-19,1,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-05-19,2,2410,IN THIS OUR LIFE,ELLEN GLASGOW
1941-05-19,3,3715,RANDOM HARVEST,JAMES HILTON
1941-05-19,4,5866,THE NEUTRAL GROUND,FRANK HOUGH
1941-05-19,5,2082,"H. M. PULHAM, ESQUIRE",J. P. MARQUAND
1941-05-19,6,3350,OLIVER WISWELL,KENNETH ROBERTS
1941-05-26,1,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-05-26,2,2410,IN THIS OUR LIFE,ELLEN GLASGOW
1941-05-26,3,3715,RANDOM HARVEST,JAMES HILTON
1941-05-26,4,5866,THE NEUTRAL GROUND,FRANK HOUGH
1941-05-26,5,2082,"H. M. PULHAM, ESQUIRE",J. P. MARQUAND
1941-05-26,6,7258,WHISTLE STOP,MARITTA WOLF
1941-06-02,1,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-06-02,2,3715,RANDOM HARVEST,JAMES HILTON
1941-06-02,3,7258,WHISTLE STOP,MARITTA WOLF
1941-06-02,4,2410,IN THIS OUR LIFE,ELLEN GLASGOW
1941-06-02,5,5866,THE NEUTRAL GROUND,FRANK HOUGH
1941-06-02,6,7081,UP AT THE VILLA,W. SOMERSET MAUGHAM
1941-06-09,1,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-06-09,2,3715,RANDOM HARVEST,JAMES HILTON
1941-06-09,3,2410,IN THIS OUR LIFE,ELLEN GLASGOW
1941-06-09,4,7258,WHISTLE STOP,MARITTA WOLF
1941-06-09,5,931,CAPTAIN PAUL,COMMANDER EDWARD ELLISBERG
1941-06-09,6,5866,THE NEUTRAL GROUND,FRANK HOUGH
1941-06-16,1,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-06-16,2,3715,RANDOM HARVEST,JAMES HILTON
1941-06-16,3,931,CAPTAIN PAUL,COMMANDER EDWARD ELLISBERG
1941-06-16,4,2410,IN THIS OUR LIFE,ELLEN GLASGOW
1941-06-16,5,7258,WHISTLE STOP,MARITTA WOLF
1941-06-16,6,6786,THEY CAME TO A RIVER,ALLIS MCKAY
1941-06-23,1,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-06-23,2,3715,RANDOM HARVEST,JAMES HILTON
1941-06-23,3,4757,THE CAPTAIN FROM CONNECTICUT,C. S. FORESTER
1941-06-23,4,931,CAPTAIN PAUL,COMMANDER EDWARD ELLISBERG
1941-06-23,5,7258,WHISTLE STOP,MARITTA WOLF
1941-06-23,6,2410,IN THIS OUR LIFE,ELLEN GLASGOW
1941-06-30,1,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-06-30,2,4757,THE CAPTAIN FROM CONNECTICUT,C. S. FORESTER
1941-06-30,3,931,CAPTAIN PAUL,COMMANDER EDWARD ELLISBERG
1941-06-30,4,7258,WHISTLE STOP,MARITTA WOLF
1941-06-30,5,3715,RANDOM HARVEST,JAMES HILTON
1941-06-30,6,2410,IN THIS OUR LIFE,ELLEN GLASGOW
1941-07-07,1,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-07-07,2,4757,THE CAPTAIN FROM CONNECTICUT,C. S. FORESTER
1941-07-07,3,3715,RANDOM HARVEST,JAMES HILTON
1941-07-07,4,7258,WHISTLE STOP,MARITTA WOLF
1941-07-07,5,931,CAPTAIN PAUL,COMMANDER EDWARD ELLISBERG
1941-07-07,6,6786,THEY CAME TO A RIVER,ALLIS MCKAY
1941-07-14,1,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-07-14,2,4757,THE CAPTAIN FROM CONNECTICUT,C. S. FORESTER
1941-07-14,3,3715,RANDOM HARVEST,JAMES HILTON
1941-07-14,4,3773,RESTLESS ARE THE SAILS,EVELYN EATON
1941-07-14,5,7216,WHAT MAKES SAMMY RUN?,BUDD SCHULBERG
1941-07-14,6,7258,WHISTLE STOP,MARITTA WOLF
1941-07-21,1,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-07-21,2,3715,RANDOM HARVEST,JAMES HILTON
1941-07-21,3,4757,THE CAPTAIN FROM CONNECTICUT,C. S. FORESTER
1941-07-21,4,7258,WHISTLE STOP,MARITTA WOLF
1941-07-21,5,373,ALL OF THEIR LIVES,MYRON BRINIG
1941-07-21,6,287,ABOVE SUSPICION,HELEN MCINNES
1941-07-28,1,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-07-28,2,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-07-28,3,287,ABOVE SUSPICION,HELEN MCINNES
1941-07-28,4,4757,THE CAPTAIN FROM CONNECTICUT,C. S. FORESTER
1941-07-28,5,3715,RANDOM HARVEST,JAMES HILTON
1941-07-28,6,931,CAPTAIN PAUL,COMMANDER EDWARD ELLISBERG
1941-08-04,1,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-08-04,2,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-08-04,3,287,ABOVE SUSPICION,HELEN MCINNES
1941-08-04,4,3715,RANDOM HARVEST,JAMES HILTON
1941-08-04,5,7216,WHAT MAKES SAMMY RUN?,BUDD SCHULBERG
1941-08-04,6,4757,THE CAPTAIN FROM CONNECTICUT,C. S. FORESTER
1941-08-11,1,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-08-11,2,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-08-11,3,287,ABOVE SUSPICION,HELEN MCINNES
1941-08-11,4,3715,RANDOM HARVEST,JAMES HILTON
1941-08-11,5,7216,WHAT MAKES SAMMY RUN?,BUDD SCHULBERG
1941-08-11,6,931,CAPTAIN PAUL,COMMANDER EDWARD ELLISBERG
1941-08-18,1,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-08-18,2,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-08-18,3,287,ABOVE SUSPICION,HELEN MCINNES
1941-08-18,4,7216,WHAT MAKES SAMMY RUN?,BUDD SCHULBERG
1941-08-18,5,4657,THE BLIND MAN'S HOUSE,HUGH WALPOLE
1941-08-18,6,3715,RANDOM HARVEST,JAMES HILTON
1941-08-25,1,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-08-25,2,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-08-25,3,287,ABOVE SUSPICION,HELEN MCINNES
1941-08-25,4,6439,THE SUN IS MY UNDOING,MARGUERITE STEEN
1941-08-25,5,4657,THE BLIND MAN'S HOUSE,HUGH WALPOLE
1941-08-25,6,3094,MR. AND MRS. CUGAT,ISABEL RORICK
1941-09-01,1,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-09-01,2,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-09-01,3,6439,THE SUN IS MY UNDOING,MARGUERITE STEEN
1941-09-01,4,287,ABOVE SUSPICION,HELEN MCINNES
1941-09-01,5,6604,THE VENABLES,KATHLEEN NORRIS
1941-09-01,6,2908,MARRIAGE IS A PRIVATE AFFAIR,JUDITH KELLY
1941-09-08,1,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-09-08,2,6439,THE SUN IS MY UNDOING,MARGUERITE STEEN
1941-09-08,3,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-09-08,4,287,ABOVE SUSPICION,HELEN MCINNES
1941-09-08,5,2908,MARRIAGE IS A PRIVATE AFFAIR,JUDITH KELLY
1941-09-08,6,3141,MY FRIEND FLICKA,MARY O'HARA
1941-09-15,1,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-09-15,2,6439,THE SUN IS MY UNDOING,MARGUERITE STEEN
1941-09-15,3,287,ABOVE SUSPICION,HELEN MCINNES
1941-09-15,4,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-09-15,5,2908,MARRIAGE IS A PRIVATE AFFAIR,JUDITH KELLY
1941-09-15,6,6604,THE VENABLES,KATHLEEN NORRIS
1941-09-22,1,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-09-22,2,6439,THE SUN IS MY UNDOING,MARGUERITE STEEN
1941-09-22,3,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-09-22,4,287,ABOVE SUSPICION,HELEN MCINNES
1941-09-22,5,2908,MARRIAGE IS A PRIVATE AFFAIR,JUDITH KELLY
1941-09-22,6,3391,ONE RED ROSE FOREVER,MILDRED JORDAN
1941-09-29,1,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-09-29,2,6439,THE SUN IS MY UNDOING,MARGUERITE STEEN
1941-09-29,3,287,ABOVE SUSPICION,HELEN MCINNES
1941-09-29,4,2908,MARRIAGE IS A PRIVATE AFFAIR,JUDITH KELLY
1941-09-29,5,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-09-29,6,3391,ONE RED ROSE FOREVER,MILDRED JORDAN
1941-10-06,1,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-10-06,2,6439,THE SUN IS MY UNDOING,MARGUERITE STEEN
1941-10-06,3,287,ABOVE SUSPICION,HELEN MCINNES
1941-10-06,4,2908,MARRIAGE IS A PRIVATE AFFAIR,JUDITH KELLY
1941-10-06,5,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-10-06,6,3391,ONE RED ROSE FOREVER,MILDRED JORDAN
1941-10-13,1,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-10-13,2,6439,THE SUN IS MY UNDOING,MARGUERITE STEEN
1941-10-13,3,6416,THE STRANGE WOMAN,BEN AMES WILLIAMS
1941-10-13,4,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-10-13,5,2908,MARRIAGE IS A PRIVATE AFFAIR,JUDITH KELLY
1941-10-13,6,287,ABOVE SUSPICION,HELEN MCINNES
1941-10-20,1,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-10-20,2,6439,THE SUN IS MY UNDOING,MARGUERITE STEEN
1941-10-20,3,287,ABOVE SUSPICION,HELEN MCINNES
1941-10-20,4,6416,THE STRANGE WOMAN,BEN AMES WILLIAMS
1941-10-20,5,6803,THIS ABOVE ALL,ERIC KNIGHT
1941-10-20,6,2908,MARRIAGE IS A PRIVATE AFFAIR,JUDITH KELLY
1941-10-27,1,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-10-27,2,6439,THE SUN IS MY UNDOING,MARGUERITE STEEN
1941-10-27,3,6416,THE STRANGE WOMAN,BEN AMES WILLIAMS
1941-10-27,4,2908,MARRIAGE IS A PRIVATE AFFAIR,JUDITH KELLY
1941-10-27,5,287,ABOVE SUSPICION,HELEN MCINNES
1941-10-27,6,5213,THE G-STRING MURDERS,GYSPY ROSE LEE
1941-11-03,1,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-11-03,2,6439,THE SUN IS MY UNDOING,MARGUERITE STEEN
1941-11-03,3,6416,THE STRANGE WOMAN,BEN AMES WILLIAMS
1941-11-03,4,2908,MARRIAGE IS A PRIVATE AFFAIR,JUDITH KELLY
1941-11-03,5,5213,THE G-STRING MURDERS,GYSPY ROSE LEE
1941-11-03,6,5393,THE HILLS BEYOND,THOMAS WOLFE
1941-11-10,1,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-11-10,2,6439,THE SUN IS MY UNDOING,MARGUERITE STEEN
1941-11-10,3,3921,SARATOGA TRUNK,EDNA FERBER
1941-11-10,4,6416,THE STRANGE WOMAN,BEN AMES WILLIAMS
1941-11-10,5,2908,MARRIAGE IS A PRIVATE AFFAIR,JUDITH KELLY
1941-11-10,6,5393,THE HILLS BEYOND,THOMAS WOLFE
1941-11-17,1,3921,SARATOGA TRUNK,EDNA FERBER
1941-11-17,2,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-11-17,3,6439,THE SUN IS MY UNDOING,MARGUERITE STEEN
1941-11-17,4,6416,THE STRANGE WOMAN,BEN AMES WILLIAMS
1941-11-17,5,5213,THE G-STRING MURDERS,GYSPY ROSE LEE
1941-11-17,6,2908,MARRIAGE IS A PRIVATE AFFAIR,JUDITH KELLY
1941-11-24,1,3921,SARATOGA TRUNK,EDNA FERBER
1941-11-24,2,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-11-24,3,6439,THE SUN IS MY UNDOING,MARGUERITE STEEN
1941-11-24,4,7313,WINDSWEPT,MARY ELLEN CHASE
1941-11-24,5,6416,THE STRANGE WOMAN,BEN AMES WILLIAMS
1941-11-24,6,817,BOTANY BAY,CHARLES NORDHOFF AND JAMES NORMAN HALL
1941-12-01,1,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-12-01,2,3921,SARATOGA TRUNK,EDNA FERBER
1941-12-01,3,7313,WINDSWEPT,MARY ELLEN CHASE
1941-12-01,4,6439,THE SUN IS MY UNDOING,MARGUERITE STEEN
1941-12-01,5,7293,WILD IS THE RIVER,LOUIS BROMFIELD
1941-12-01,6,6416,THE STRANGE WOMAN,BEN AMES WILLIAMS
1941-12-08,1,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-12-08,2,7313,WINDSWEPT,MARY ELLEN CHASE
1941-12-08,3,3921,SARATOGA TRUNK,EDNA FERBER
1941-12-08,4,6439,THE SUN IS MY UNDOING,MARGUERITE STEEN
1941-12-08,5,7293,WILD IS THE RIVER,LOUIS BROMFIELD
1941-12-08,6,817,BOTANY BAY,CHARLES NORDHOFF AND JAMES NORMAN HALL
1941-12-15,1,7313,WINDSWEPT,MARY ELLEN CHASE
1941-12-15,2,5530,THE KEYS OF THE KINGDOM,A. J. CRONIN
1941-12-15,3,6439,THE SUN IS MY UNDOING,MARGUERITE STEEN
1941-12-15,4,3921,SARATOGA TRUNK,EDNA FERBER
