1065,CITY OF BONES,MICHAEL CONNELLY,6,2002-05-05,4
1066,CITY OF ENDLESS NIGHT,DOUGLAS PRESTON AND LINCOLN CHILD,4,2018-02-04,2
1067,CITY OF GIRLS,ELIZABETH GILBERT,10,2019-06-23,2
1068,CITY OF GOD,E. L. DOCTOROW,4,2000-03-05,11
1069,CITY OF NIGHT,JOHN RECHY,24,1963-07-07,3
107,A FEARFUL JOY,JOYCE CARY,4,1950-10-29,11
1070,CITY ON FIRE,GARTH RISK HALLBERG,2,2015-11-01,5
1071,CLAIR DE LUNE,PIERRE LA MURE,3,1962-12-23,15
1072,CLANSMEN,ETHEL BOILEAU,4,1936-06-15,5
1073,CLASS REUNION,RONA JAFFE,21,1979-06-10,4
1074,CLAUDIUS THE GOD,ROBERT GRAVES,3,1935-04-15,6
1075,CLAWBACK,J. A. JANCE,1,2016-03-27,11
1076,CLAWS AND EFFECT,RITA MAE BROWN AND SNEAKY PIE BROWN,1,2001-03-18,15
1077,CLEA,LAWRENCE DURRELL,13,1960-04-10,7
1078,CLEAR AND PRESENT DANGER,TOM  CLANCY,1,1990-05-20,13
1079,CLEAR AND PRESENT DANGER,TOM CLANCY,44,1989-09-03,1
108,A FEAST FOR CROWS,GEORGE R. R. MARTIN,5,2005-11-27,1
1080,CLOAK OF DARKNESS,HELEN MACINNES,6,1982-10-10,8
1081,CLOAK OF DECEPTION,JAMES LUCENO,2,2001-06-17,12
1082,CLOCK DANCE,ANNE TYLER,5,2018-07-29,3
1083,CLOCK WITHOUT HANDS,CARSON MCCULLERS,22,1961-09-03,7
1084,CLOSE COMBAT,W. E. B. GRIFFIN,7,1993-01-31,4
1085,CLOSE YOUR EYES,IRIS JOHANSEN AND ROY JOHANSEN,1,2012-08-05,10
1086,CLUNY BROWN,MARGERY SHARP,2,1944-10-01,3
1087,COAST ROAD,BARBARA DELINSKY,5,1998-08-09,13
1088,COCKPIT,JERZY KOSINISKI,1,1975-09-28,10
1089,COCONUT LAYER CAKE MURDER,JOANNE FLUKE,1,2020-03-15,6
109,A FEVER IN THE BLOOD,WILLIAM PEARSON,3,1959-12-06,14
1090,CODE OF CONDUCT,BRAD THOR,6,2015-07-26,3
1091,CODE TO ZERO,KEN FOLLETT,8,2000-12-24,3
1092,COGAN'S TRADE,GEORGE HIGGINS,1,1974-04-28,10
1093,COLD BETRAYAL,J. A. JANCE,1,2015-03-29,13
1094,COLD COLD HEART,TAMI HOAG,3,2015-02-01,5
1095,COLD DAYS,JIM BUTCHER,2,2012-12-16,1
1096,COLD FIRE,DEAN R. KOONTZ,16,1991-01-27,1
1097,COLD HARBOUR,JACK HIGGINS,12,1990-01-21,4
1098,COLD MOUNTAIN,CHARLES FRAZIER,61,1997-07-13,1
1099,COLD PARADISE,STUART WOODS,5,2001-05-13,6
11,'M'' IS FOR MALICE,SUE GRAFTON,1,1997-01-12,14
110,A FEW FOOLISH ONES,GLADYS HASTY CARROLL,3,1935-05-13,5
1100,COLD SERVICE,ROBERT B. PARKER,4,2005-03-27,6
1101,COLD VENGEANCE,DOUGLAS PRESTON AND LINCOLN CHILD,5,2011-08-21,1
1102,COLD WIND,C. J. BOX,1,2011-04-10,10
1103,COLLATERAL DAMAGE,STUART WOODS,3,2013-01-27,5
1104,COLLECTED STORIES OF WALLACE STEGNER,WALLACE STEGNER,3,1990-04-15,14
1105,COLONY,ANNE RIVERS SIDDONS,12,1992-07-19,4
1106,COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE,HARUKI MURAKAMI,7,2014-08-31,1
1107,COLOUR SCHEME,NGAIO MARSH,1,1943-07-26,5
1108,COLUMBELLA,PHYLLIS WHITNEY,8,1966-05-08,8
1109,COMA,ROBIN COOK,13,1977-07-24,6
111,A FEW OF THE GIRLS,MAEVE BINCHY,2,2016-03-20,12
1110,COMANCHE MOON,LARRY MCMURTRY,11,1997-11-16,7
1111,COME AND GET IT,EDNA FERBER,14,1935-03-04,1
1112,COME HOME,LISA SCOTTOLINE,3,2012-04-29,4
1113,"COME NINEVEH, COME TYRE",ALLEN DRURY,26,1973-11-25,2
1114,COME POUR THE WINE,CYNTHIA FREEMAN,27,1980-10-19,3
1115,COME RAIN OR COME SHINE,JAN KARON,4,2015-10-11,1
1116,COME SUNDOWN,NORA ROBERTS,5,2017-06-18,1
1117,COME THE SPRING,JULIE GARWOOD,3,1997-11-23,7
1118,COME TO GRIEF,DICK FRANCIS,7,1995-10-01,4
1119,COME WITH ME TO MACEDONIA,LEONARD DROHAN,1,1957-09-29,16
112,A FISTFUL OF COLLARS,SPENCER QUINN,1,2012-09-30,16
1120,"COME, MY BELOVED",PEARL S. BUCK,11,1953-08-30,7
1121,COMEBACK,DICK FRANCIS,12,1991-11-03,3
1122,COMETH THE HOUR,JEFFREY ARCHER,3,2016-03-06,1
1123,COMFORT ME WITH APPLES,PETER DE VRIES,13,1956-05-20,7
1124,COMING HOME,LESTER COHEN,1,1945-09-09,15
1125,COMING HOME,ROSAMUNDE PILCHER,18,1995-09-10,2
1126,COMING OUT,DANIELLE STEEL,7,2006-07-16,2
1127,COMMAND AUTHORITY,TOM CLANCY WITH MARK GREANEY,9,2013-12-22,1
1128,COMMAND DECISION,WILLIAM WISTER HAINES,3,1947-02-02,14
1129,COMMAND THE MORNING,PEARL S. BUCK,3,1959-06-07,14
113,A FLAG FOR SUNRISE,ROBERT STONE,1,1981-11-22,9
1130,COMMITMENTs,BARBARA DELINSKY,1,2001-03-18,12
1131,COMMODORE HORNBLOWER,C. S. FORESTER,13,1945-07-01,3
1132,COMMONWEALTH,ANN PATCHETT,18,2016-10-02,1
1133,COMPANY MAN,JOSEPH FINDER,1,2005-05-08,15
1134,COMPULSION,JONATHAN KELLERMAN,5,2008-04-13,1
