MARY HIGGINS CLARK,40
TAYLOR JENKINS REID,1
ELIZABETH JANEWAY,3
DR. SEUSS,3
LOUISE PENNY,10
JOHN LESCROART,13
JOSEPHINE HART,1
JOEL C. ROSENBERG,9
ANNE MCCAFFREY,11
ANTON MYRER,2
KIRK DOUGLAS,1
PHYLLIS BOTTOME,3
DIANA PALMER,5
JANET EVANOVICH,34
BARBARA TAYLOR BRADFORD,23
JOHN FOWLES,6
ALBERT CAMUS,4
PIERCE BROWN,4
SALLY BEAUMAN,2
ANNE PERRY,8
TIMOTHY ZAHN,11
FLETCHER KNEBEL,3
MICHAEL PALMER,9
BLAKE CROUCH,2
DIANE DUANE,2
ALAN FURST,7
SUZANNE BROCKMANN,12
DEAN KOONTZ,40
MAURICE WALSH,3
DAVE EGGERS,4
SHERRILYN KENYON,16
LARA ADRIAN,1
JOHN SAUL,4
KEVIN J. ANDERSON,2
DREW KARPYSHYN,3
MICHAEL REAVES,1
MARY HIGGINS CLARK AND CAROL HIGGINS CLARK,5
ISABEL ALLENDE,12
MORRIS L. WEST,4
MARJORIE HOUSEPIAN,1
MARY ELLEN CHASE,7
ALLAN FOLSOM,2
DALE BROWN,9
CHARLAINE HARRIS,15
DAVID BALDACCI,42
KONSTANTINE SIMONOV,1
NEWT GINGRICH AND WILLIAM R. FORSTCHEN,3
ROBERT LEWIS TAYLOR,2
JUDITH KRANTZ,9
JAMES MCBRIDE,1
PATRICIA BRIGGS,12
TOM CLANCY AND GRANT BLACKWOOD,1
TOM CLANCY WITH GRANT BLACKWOOD,1
GREG ILES,11
STEPHEN HUNTER,6
KURT VONNEGUT,9
LINDA FAIRSTEIN,16
CATHERINE COULTER,23
RICHARD CASTLE,7
TAYLOR CALDWELL,27
ANN NAPOLITANO,1
NICHOLAS SPARKS,21
ALICE MUNRO,2
WILHELM GRIMM,1
SYBILLE BEDFORD,1
ANNE MORROW LINDBERGH,2
ROBERT MOSS,2
P. D. JAMES,9
ELIZABETH LOWELL,14
OTTESSA MOSHFEGH,2
JOHN LE CARRÉ,22
BERNARD CORNWELL,13
GEORGE P. GARRETT,1
NANCY GRACE,2
L. RON HUBBARD,11
MICHAEL REAVES AND STEVE PERRY,1
JOE SCHREIBER,1
JACQUELINE WINSPEAR,12
EDITED BY CHARLAINE HARRIS AND TONI L. P. KELNER,1
MARIAN CASTLE,1
PAUL S. KEMP,1
MARTIN CRUZ SMITH,7
PHILIP ROTH,12
ELIZABETH GEORGE,14
JUDITH MICHAEL,10
ROBERT RYLEE,1
MARY KAY ANDREWS,11
NEVADA BARR,11
JAMES PATTERSON AND MAXINE PAETRO,22
MARY ROBERTS RINEHART.,1
LINCOLN CHILD,5
WILLIAM LANDAY,1
RUTH REICHL,1
MARCUS GOODRICH,1
GREGORY MAGUIRE,3
JAMES DICKEY,1
ANAIS NIN,1
EUDORA WELTY,5
FREDERIC WAKEMAN,3
JOAN DIDION,4
DAVID EDDINGS,11
ADRIA LOCKE LANGLEY,1
CRAIG JOHNSON,10
IRVING STONE,12
JAMES SIEGEL,1
TIM JOHNSTON,1
HAROLD ROBBINS,17
TIM LAHAYE AND JERRY B. JENKINS,12
WILBUR SMITH,7
RICHARD MARCINKO AND JOHN WEISMAN,5
ANNEMARIE SELINKO,1
WILLIAM KENT KRUEGER,7
JOE ABERCROMBIE,1
ANYA SETON,7
WALTER MOSLEY,5
J. R. WARD,11
CLIVE CUSSLER AND GRAHAM BROWN,9
MAX BROOKS,2
MARY OLIVER,3
JEFF LINDSAY,3
REYNOLDS PRICE,2
PETER GILMAN,1
ROBERT HARRIS,8
TESS GERRITSEN,14
FRANCES PARKINSON KEYES,15
FREDERICK BUECHNER,1
WRITTEN AND ILLUSTRATED BY JAMES GURNEY,1
DOUGLAS ADAMS,6
LUDWIG BEMELMANS,3
ADAPTED BY DON FERGUSON,2
LOUISA MAY ALCOTT,1
NO AUTHOR,3
LLOYD C. DOUGLAS,7
FAITH BALDWIN,3
? BY ISABEL BOLTON,1
R.V. CASSILL,1
GRAHAM GREENE,12
BORIS PASTERNAK,1
ERICH SEGAL,6
JACQUELINE SUSANN,4
NICK HORNBY,4
GIOVANNINO GUARESCHI,2
JAMES PATTERSON AND HOWARD ROUGHAN,8
KATHERINE BRUSH,1
WILLIAM BRINKLEY,1
HARLAN COBEN,20
E. LYNN HARRIS,10
ANDREW GROSS,4
HERMAN WOUK,9
NANCY MITFORD,4
HENRY GREEN,3
JOHANNA LINDSEY,14
FAYE AND JONATHAN KELLERMAN,1
FRANCES GAITHER,1
STEVE MARTINI,12
LINDA CASTILLO,2
CHRISTY BROWN,1
UPTON SINCLAIR,10
ANNE MCCAFFREY AND TODD MCCAFFREY,1
ORIANA FALLACI,1
MARGARET WEIS AND TRACY HICKMAN,6
BRUNO FRANK,1
PHYLLIS A. WHITNEY,7
DAVID NEVIN,1
ELIZABETH BERG,7
KAREN MARIE MONING,11
LAURIE R. KING,7
JACQUELINE BRISKIN,5
LUCIAN K. TRUSCOTT IV,1
ELIZABETH CHEVALIER,1
T. CORAGHESSAN BOYLE,2
CHRISTINA SCHWARZ,1
WALTER D. EDMONDS,3
DIANA GABALDON,10
TOM WOLFE,4
PETER BOURNE,3
BERNARD MALAMUD,4
ROSAMOND MARSHALL,1
NORMAN COLLINS,1
JANE GREEN,8
BRIAN HERBERT AND KEVIN J. ANDERSON,10
STEPHEN R. DONALDSON,7
HOWARD SPRING,10
SAMUEL ROGERS,1
MARTHA GRIMES,9
THEODORE BONNET,2
JOHN GREGORY DUNNE,3
ROBERT S. ELEGANT,1
WILLIAM KOTZWINKLE,1
NORMAN KATKOV,1
JASPER FFORDE,4
JANE SMILEY,6
GWENTHALYN GRAHAM,1
PHILIP KERR,5
ORSON SCOTT CARD AND AARON JOHNSTON,1
DALTON S. REYMOND,1
DONNA LEON,8
,4
JOHN STEINBECK,10
DAVID GUTERSON,1
SHOLEM ASCH,7
FRANK G. SLAUGHTER,12
MARCIA DAVENPORT,5
N. RICHARD NASH,1
"LUCIA BERLIN, EDITED BY STEPHEN EMERSON",1
JEFFERY DEAVER,23
JANE HAMILTON,1
MARY AYER BARNES,1
ARNOLD ZWEIG,1
ALAN LIGHTMAN,1
WENDY WASSERSTEIN,1
R.C. HUTCHINSON,1
ROBIN WHITE,1
ROBERT STANDISH,1
CURTIS SITTENFELD,5
AMANDA MAE ELLIS,1
MARGARET IRWIN,1
FRED MUSTARD STEWART,3
ROBERT JORDAN AND BRANDON SANDERSON,3
ETHAN CANIN,2
RICHARD RUSSO,6
ANN BRIDGE,7
LOUIS L'AMOUR,13
TONI MORRISON,9
ORSON SCOTT CARD,6
KYLE MILLS,5
CHARLES MERCER,1
ETHEL VANCE,2
DAVID WEBER,16
ANNE BISHOP,2
ROBERT BRIFFAULT,2
IAN RANKIN,4
IRWIN SHAW,10
GAIL GODWIN,5
ELSWYTH THANE,3
KIM HARRISON,10
KATHLEEN E. WOODIWISS,2
JUDITH MCNAUGHT,7
MARY HIGGINS CLARK AND ALAFAIR BURKE,6
LOUIS BROMFIELD,11
ANNA QUINDLEN,9
ELLIOTT ARNOLD,3
CHRIS CLEAVE,2
JONATHAN SAFRAN FOER,3
PHYLLIS BENTLEY,2
LINDA HOLMES,1
PAUL HYDE BONNER,5
WILLIAM J. CAUNITZ,3
CAMERON HAWLEY,4
TED CHIANG,1
MOHSIN HAMID,2
MARGARET CARPENTER,1
ALDOUS HUXLEY,7
LOUIS FALSTEIN,1
TOM WICKER,2
EUGENE BURDICK AND HARVEY WHEELER,1
TEMPLE BAILEY,2
FRANK YERBY,14
BRUCE JAY FRIEDMAN,1
TANA FRENCH,6
JOHN CHEEVER,6
